origin, destination, date, miles, dollars, error
ORD, lax, 03-05-2023, 13.7k miles, $5.60
ORD, lax, 03-06-2023, 12.6k miles, $5.60
ORD, lax, 03-07-2023, 9.6k miles, $5.60
ORD, lax, 03-08-2023, 10.6k miles, $5.60
ORD, lax, 03-09-2023, 15k miles, $11.20
ORD, lax, 03-10-2023, 22.4k miles, $5.60
ORD, lax, 03-11-2023, 20.5k miles, $5.60
ORD, lax, 03-12-2023, 15k miles, $11.20
ORD, lax, 03-13-2023, 15k miles, $5.60
ORD, lax, 03-14-2023, 15k miles, $5.60
ORD, lax, 03-15-2023, 15k miles, $5.60
ORD, lax, 03-16-2023, 15k miles, $5.60
ORD, sea, 02-15-2023, 15k miles, $5.60
ORD, sea, 02-16-2023, 15k miles, $5.60
ORD, sea, 02-17-2023, 15k miles, $5.60
ORD, sea, 02-18-2023, 9.5k miles, $5.60
ORD, sea, 02-19-2023, 13.9k miles, $5.60
ORD, sea, 02-20-2023, 15k miles, $5.60
ORD, sea, 02-21-2023, 12.8k miles, $5.60
ORD, sea, 02-22-2023, 12.8k miles, $5.60
ORD, sea, 02-23-2023, 13.9k miles, $5.60
ORD, sea, 02-24-2023, 15k miles, $5.60
ORD, sea, 02-25-2023, 14.6k miles, $5.60
ORD, sea, 02-26-2023, 18.5k miles, $5.60
ORD, sea, 02-27-2023, 12.5k miles, $5.60
ORD, sea, 02-28-2023, 11.5k miles, $5.60
ORD, sea, 03-01-2023, 11.5k miles, $5.60selected
ORD, sea, 03-02-2023, 12.5k miles, $5.60
ORD, sea, 03-03-2023, 12.5k miles, $5.60
ORD, sea, 03-04-2023, 7.2k miles, $5.60Lowestprice
ORD, sea, 03-05-2023, 15k miles, $11.20
ORD, sea, 03-06-2023, 12.5k miles, $5.60
ORD, sea, 03-07-2023, 11.5k miles, $5.60
ORD, sea, 03-08-2023, 14.1k miles, $5.60
ORD, sea, 03-09-2023, 15k miles, $5.60
ORD, sea, 03-10-2023, 23k miles, $5.60
ORD, sea, 03-11-2023, 15k miles, $5.60
ORD, sea, 03-12-2023, 26.4k miles, $5.60
ORD, sea, 03-13-2023, 15k miles, $5.60
ORD, sea, 03-14-2023, 11.5k miles, $5.60
ORD, sea, 03-15-2023, 13.5k miles, $5.60
ORD, sea, 03-16-2023, 15k miles, $5.60
ORD, atl, 02-15-2023, 10.7k miles, $5.60
ORD, atl, 02-16-2023, 12.8k miles, $5.60
ORD, atl, 02-17-2023, 17.4k miles, $5.60
ORD, atl, 02-18-2023, 10.7k miles, $5.60
ORD, atl, 02-19-2023, 13k miles, $5.60
ORD, atl, 02-20-2023, 13k miles, $5.60
ORD, atl, 02-21-2023, 8.7k miles, $5.60
ORD, atl, 02-22-2023, 8.7k miles, $5.60
ORD, atl, 02-23-2023, 10.7k miles, $5.60
ORD, atl, 02-24-2023, 10.7k miles, $5.60
ORD, atl, 02-25-2023, 7.8k miles, $5.60Lowestprice
ORD, atl, 02-26-2023, 11.6k miles, $5.60
ORD, atl, 02-27-2023, 8.7k miles, $5.60
ORD, atl, 02-28-2023, 7.8k miles, $5.60Lowestprice
ORD, atl, 03-01-2023, 7.8k miles, $5.60Lowestpriceselected
ORD, atl, 03-02-2023, 8.7k miles, $5.60
ORD, atl, 03-03-2023, 8.7k miles, $5.60
ORD, atl, 03-04-2023, 7.8k miles, $5.60Lowestprice
ORD, atl, 03-05-2023, 15.3k miles, $5.60
ORD, atl, 03-06-2023, 15k miles, $5.60
ORD, atl, 03-07-2023, 7.8k miles, $5.60Lowestprice
ORD, atl, 03-08-2023, 7.8k miles, $5.60Lowestprice
ORD, atl, 03-09-2023, 13k miles, $5.60
ORD, atl, 03-10-2023, 14.5k miles, $5.60
ORD, atl, 03-11-2023, 14.5k miles, $5.60
ORD, atl, 03-12-2023, 21.3k miles, $5.60
ORD, atl, 03-13-2023, 15.3k miles, $5.60
ORD, atl, 03-14-2023, 10.7k miles, $5.60
ORD, atl, 03-15-2023, 10.7k miles, $5.60
ORD, atl, 03-16-2023, 14.5k miles, $5.60
ORD, mia, 02-15-2023, 22.5k miles, $5.60
ORD, mia, 02-16-2023, 34.6k miles, $5.60
ORD, mia, 02-17-2023, 34.6k miles, $5.60
ORD, mia, 02-18-2023, 17.4k miles, $5.60
ORD, mia, 02-19-2023, 10.7k miles, $5.60
ORD, mia, 02-20-2023, 14.5k miles, $5.60
ORD, mia, 02-21-2023, 8.7k miles, $5.60
ORD, mia, 02-22-2023, 13k miles, $5.60
ORD, mia, 02-23-2023, 23.7k miles, $5.60
ORD, mia, 02-24-2023, 22.7k miles, $5.60
ORD, mia, 02-25-2023, 15k miles, $5.60
ORD, mia, 02-26-2023, 9.5k miles, $5.60
ORD, mia, 02-27-2023, 8.7k miles, $5.60
ORD, mia, 02-28-2023, 7.8k miles, $5.60Lowestprice
ORD, mia, 03-01-2023, 15k miles, $5.60selected
ORD, mia, 03-02-2023, 21k miles, $5.60
ORD, mia, 03-03-2023, 22.5k miles, $5.60
ORD, mia, 03-04-2023, 15k miles, $5.60
ORD, mia, 03-05-2023, 17.5k miles, $5.60
ORD, mia, 03-06-2023, 8.7k miles, $5.60
ORD, mia, 03-07-2023, 7.8k miles, $5.60Lowestprice
ORD, mia, 03-08-2023, 15k miles, $5.60
ORD, mia, 03-09-2023, 21k miles, $5.60
ORD, mia, 03-10-2023, 32.5k miles, $5.60
ORD, mia, 03-11-2023, 21.9k miles, $5.60
ORD, mia, 03-12-2023, 21.9k miles, $5.60
ORD, mia, 03-13-2023, 15k miles, $5.60
ORD, mia, 03-14-2023, 12.6k miles, $5.60
ORD, mia, 03-15-2023, 15k miles, $5.60
ORD, mia, 03-16-2023, 21.8k miles, $5.60
ORD, mco, 02-15-2023, 27.2k miles, $5.60
